user_id,join_date,country,device_type,subscription_type
u442377,2023-07-23,US,Android Phone,premium
u920096,2022-01-31,FR,Mac,free
u296116,2022-10-30,UK,iPhone,free
u463409,2023-12-18,UK,Mac,basic
u250615,2022-07-11,BR,Windows,free
u877172,2020-09-11,US,Mac,free
u017387,2021-02-02,CA,iPad,premium
u665940,2023-09-28,DE,Mac,free
u809555,2020-04-18,US,Mac,premium
u633456,2023-08-13,AU,Android Phone,free
u954174,2023-06-17,IN,Mac,enterprise
u651836,2022-06-04,BR,Windows,free
u927032,2020-09-24,CA,Windows,enterprise
u438931,2023-04-20,BR,iPhone,basic
u410608,2021-02-24,CA,Windows,basic
u665780,2021-09-18,UK,Mac,enterprise
u655681,2021-01-07,IN,Android Tablet,free
u064291,2023-09-17,MX,Android Phone,premium
u140795,2020-04-26,FR,Android Phone,enterprise
u928370,2023-01-21,FR,Android Phone,enterprise
u204759,2023-11-05,FR,iPad,premium
u395484,2023-01-06,FR,Windows,free
u406518,2023-05-15,JP,iPhone,free
u188579,2022-10-02,BR,iPhone,enterprise
u587578,2022-04-25,UK,Android Phone,basic
u692373,2023-11-27,CA,iPad,premium
u617175,2021-01-10,DE,iPhone,premium
u225984,2022-07-31,AU,iPhone,enterprise
u971925,2022-01-13,AU,iPad,basic
u127124,2023-12-29,AU,iPhone,free
u087852,2021-04-10,BR,Windows,basic
u712370,2020-12-23,JP,iPad,free
u053599,2021-11-19,AU,Android Phone,basic
u219711,2023-11-27,AU,Android Phone,free
u237131,2022-05-17,AU,iPhone,enterprise
u688306,2021-06-02,FR,Android Phone,premium
u122468,2020-12-07,US,Android Phone,enterprise
u626419,2023-04-03,IN,Windows,enterprise
u394519,2022-11-27,AU,iPad,premium
u390300,2022-03-05,DE,Android Phone,premium
u245157,2021-08-22,JP,Android Tablet,enterprise
u671790,2022-05-27,FR,Android Tablet,basic
u742646,2023-06-06,DE,Mac,free
u036352,2020-06-06,US,Mac,premium
u970628,2023-04-22,MX,Mac,free
u141950,2023-12-21,UK,Windows,free
u767564,2022-06-24,MX,Android Phone,enterprise
u587799,2021-05-13,US,iPad,free
u980631,2021-12-05,AU,iPad,basic
u274113,2021-05-03,MX,Android Phone,free
u770588,2021-05-11,UK,iPad,premium
u639590,2023-03-23,BR,Mac,free
u680982,2022-02-27,UK,iPhone,basic
u955920,2023-07-29,IN,Windows,premium
u342667,2020-10-03,MX,Android Tablet,basic
u174141,2023-07-31,FR,iPhone,enterprise
u180678,2023-01-23,CA,Mac,free
u323878,2023-10-15,FR,Android Tablet,premium
u255911,2023-12-23,CA,iPhone,basic
u195825,2022-04-30,BR,Windows,free
u045859,2021-02-03,BR,Windows,enterprise
u686035,2023-11-08,AU,Android Phone,enterprise
u216757,2022-06-01,IN,Mac,enterprise
u446156,2020-05-15,MX,Android Tablet,basic
u952456,2022-04-18,CA,iPad,basic
u423036,2021-08-25,FR,Mac,premium
u378266,2022-02-18,BR,Android Phone,enterprise
u847936,2020-03-21,BR,Android Phone,basic
u581141,2023-11-11,US,Windows,basic
u005021,2023-03-14,MX,iPad,basic
u996952,2021-08-10,UK,Android Tablet,premium
u256710,2023-06-15,IN,Windows,basic
u221753,2021-07-08,IN,iPhone,enterprise
u140063,2020-06-30,US,Android Phone,free
u226482,2021-05-17,MX,Windows,free
u370141,2020-05-10,BR,Android Tablet,free
u489611,2022-12-03,DE,Android Phone,basic
u650357,2021-06-20,DE,Android Phone,free
u841099,2020-07-20,DE,Windows,basic
u350549,2021-09-16,JP,Mac,premium
u481674,2020-07-28,UK,iPad,free
u793180,2023-08-06,US,Android Tablet,basic
u202059,2022-05-25,MX,Mac,basic
u316099,2021-07-24,IN,Android Phone,basic
u013616,2020-08-08,AU,Android Tablet,basic
u288693,2023-12-10,DE,Windows,basic
u159359,2022-02-27,UK,Android Phone,premium
u622697,2021-09-13,MX,Android Phone,premium
u988776,2023-11-17,DE,iPad,basic
u046521,2022-11-10,MX,Windows,premium
u868256,2022-07-27,JP,Android Tablet,free
u378441,2022-12-22,MX,Android Tablet,premium
u730711,2022-09-15,IN,Windows,enterprise
u245957,2022-11-14,DE,iPad,premium
u623533,2022-11-01,FR,Android Phone,premium
u111075,2022-02-04,JP,Mac,free
u711824,2022-04-04,BR,iPad,basic
u697420,2023-08-24,AU,Mac,enterprise
u188520,2022-01-11,UK,Android Phone,premium
u318444,2020-10-05,US,Mac,premium
u968573,2021-04-18,CA,Android Tablet,basic
u656521,2020-11-25,JP,Mac,premium
u041516,2022-01-06,US,iPhone,free
u880313,2021-10-26,MX,Android Tablet,enterprise
u695398,2021-06-09,IN,iPhone,enterprise
u669341,2020-12-29,JP,Android Tablet,free
u317168,2022-09-12,FR,Android Tablet,premium
u698680,2020-03-12,US,Windows,free
u361185,2022-12-17,MX,iPhone,basic
u301117,2023-09-12,US,iPad,premium
u139835,2023-09-15,UK,Windows,premium
